SKU;EAN;Orders_8_weeks
N005871a;4065351060901;741
N005663a;4065351060680;392
N020071a;4065351055365;297
N007171a;4065351061458;275
N023071a;4065351067672;275
N003171a;4065351058892;274
N013263a;4065351067207;256
N003971a;4065351060123;251
N004863a;4065351060604;215
N004063a;4065351060185;209
N015971a;4065351055570;205
N007871a;4065351061915;194
N005264a;4065351060659;191
N016647b;4065351053170;183
N005863a;4065351060925;180
N002471a;4065351057833;176
N023063a;4065351067696;165
N003663a;4065351059912;159
N004871a;4065351060581;147
N016371b;4065351056652;147
N020171a;4065351055372;146
N018571a;4065351056010;145
N003671a;4065351059851;135
N018563a;4065351052562;134
N004671a;4065351060420;134
N003571a;4065351059998;132
N004264a;4065351060253;129
N020863a;4065351054658;129
N004663a;4065351060444;128
N021863a;4065351054917;110
N006271a;4065351061021;110
N022171a;4065351056539;104
N002463a;4065351057864;104
N003771b;4065351060048;101
N021363a;4065351053279;98
N004171a;4065351060208;98
N003563a;4065351060017;94
N005371a;4065351060741;91
N003763b;4065351060086;90
N002663a;4065351059271;87
N021364a;4065351053286;86
N006263a;4065351061045;84
N004363a;4065351060406;84
N016647a;4065351053163;83
N006671a;4065351061250;81
N000463a;4065351056393;73
N018563c;4065351052555;68
N016463a;4065351070726;64
N004265a;4065351060246;64
N003663b;4065351059929;63
N005265a;4065351060635;60
N007363a;4065351061731;60
N007371a;4065351061717;59
N008936a;4065351065203;58
N020271a;4065351055556;58
N019463a;4065351067313;57
N004163a;4065351060222;55
N000371a;4065351055952;54
N008935a;4065351065210;52
N014871a;4065351055280;47
N004864a;4065351060611;44
N005671a;4065351060666;43
N008736a;4065351065166;42
N005071a;4065351060505;40
N006971a;4065351061410;40
N004071a;4065351060161;39
N003063a;4065351058823;38
N021365a;4065351053262;37
N007263a;4065351061694;37
N007163a;4065351061472;36
N002664b;4065351059318;36
N004971a;4065351060543;35
N021371a;4065351056737;33
N020771a;4065351055884;32
N002171a;4065351057611;32
N006163a;4065351061120;32
N004471a;4065351060345;30
N005563a;4065351060727;30
N000471a;4065351055983;29
