SKU;EAN;Good Status;Damaged;Destination;Lagerort;MHD;Typ
000251a;4260273216737;6;0;Lager;G/04/1;06.06.2024;B
000253a;4251285467026;4;0;Lager;F/05/2;06.06.2024;B
000753a;4061331030155;10;0;Zapas;-;-;B
001151c;4251285462304;1;0;Zapas;-;-;B
001612b;4251285477209;14;0;Lager;C/21/1;06.06.2024;B
002153c;4251285492998;10;0;Lager;E/04/1;06.06.2024;B
002255a;4251285495920;8;0;Zapas;-;-;B
004112a;4061331001650;12;0;Lager;C/08/2;06.06.2024;B
004131a;4061331001667;18;0;Lager New;-;-;B
004551b;4260273214030;3;0;Lager;E/03/1;08.06.2024;B
004555b;4061331000073;31;0;Lager New;-;-;B
004614a;4251285485020;7;0;Lager;D/20/2;06.06.2024;B
004631a;4251285479999;24;3;Lager;G/10/1;06.06.2024;B
004631c;4061331000059;8;0;Lager;D/08/1;06.06.2024;B
004646a;4251285486843;3;1;Zapas;-;-;B
004653a;4061331014452;12;0;Lager;D/04/2;06.06.2024;B
004655a;4061331000004;1;0;Lager;I/09/1;06.06.2024;B
004656c;4061331019013;13;0;Zapas;-;-;B
005814a;4061331016845;17;0;Lager New;-;-;B
005851b;4061331000592;3;0;Zapas;-;-;B
007312a;4061331167714;17;0;Lager New;-;-;B
007612a;4061331005597;18;0;Lager;D/13/3;06.06.2024;B
007631a;4061331005634;1;0;Lager;D/17/1;06.06.2024;B
007951a;4061331006099;15;0;Lager New;-;-;B
008612c;4061331006709;9;0;Lager;D/07/3;06.06.2024;B
008641c;4061331006792;47;1;Lager New;-;-;B
008651b;4061331006860;0;1;Recycling;-;-;B
013451a;4061331011789;14;0;Zapas;-;-;B
014151c;4061331030292;19;0;Lager New;-;-;B
014153a;4251285472563;11;0;Zapas;-;-;B
014153b;4251285472624;9;0;Zapas;-;-;B
015412a;4061331015602;14;0;Zapas;-;-;B
018355a;4061331032098;7;0;Lager;I/10/1;06.06.2024;B
020712b;4061331039264;10;0;Lager;C/06/3;06.06.2024;B
023846a;4061331046859;11;0;Zapas;-;-;B
