sku;solditems;barcode
038846a;799;4061331166304
041512a;739;4061331175252
041712a;586;4061331176075
041555a;485;4061331175207
041551a;484;4061331175184
042512c;458;4061331177522
041412a;424;4061331175368
004631a;407;4251285479999
002151c;356;4251285444706
038812a;347;4061331166311
004612a;333;4061331000028
034312b;318;4061331107697
607312b;309;4251285416710
609551a;296;4251285453388
611712a;287;4061331008789
041556a;283;4061331175269
027112c;263;4061331107406
043512a;262;4061331181857
040612a;261;4061331173890
004655a;247;4061331000004
021812c;245;4061331042066
303031c;237;4251285456846
023731b;234;4061331046583
106851c;233;4260442281559
301612a;203;4260349657808
020151a;196;4061331037642
007612a;192;4061331005597
611755a;187;4061331008765
006212a;185;4061331002220
002151b;184;4251285444690
043531a;183;4061331181772
023612b;181;4061331046057
042555c;181;4061331177331
109031b;180;4251285442399
000251a;179;4260273216737
021731c;178;4061331041892
041712b;174;4061331176105
603312a;166;4260349657242
008351a;166;4061331007881
503812b;164;4251285400016
020151c;162;4061331037659
504551b;155;4251285411043
021714c;154;4061331041823
008612c;153;4061331006709
027112a;153;4061331107383
020614c;149;4061331039363
043555a;141;4061331181802
204645c;140;4260349658423
004651a;140;4251285479944
004551b;137;4260273214030
022312b;137;4061331043131
205512a;135;4251285493469
503551b;134;4260442280347
402612a;132;4251285467736
603351a;130;4260397158265
043712a;130;4061331181994
609553a;129;4251285495609
301245a;128;4260349657785
503855b;127;4251285429925
506012a;126;4251285456167
504553b;124;4251285484672
029233b;124;4061331112011
301241a;122;4260273218748
020712b;122;4061331039264
004614a;121;4251285485020
039812a;119;4061331171988
020653c;117;4061331039578
042556c;117;4061331177539
002153c;115;4251285492998
020615c;113;4061331069612
004656a;111;4061331019006
041755a;111;4061331175924
005055b;107;4061331002602
000212a;105;4260349657082
204641c;104;4251285406384
023731a;104;4061331046576
301655a;102;4061331030346
005812b;102;4061331000547
012912c;101;4061331014629
008651c;100;4061331006846
609551b;98;4251285453395
040312a;97;4061331173258
041553a;97;4061331175238
205412b;95;4260442281573
018412b;94;4061331031787
027112b;94;4061331107390
204751b;93;4251285441873
302755a;92;4251285495159
204645a;91;4260349658409
700112a;90;4251285412828
004632a;89;4061331121617
504552b;88;4251285411074
008651a;88;4061331006839
504551c;86;4251285411050
501212a;85;4251285460058
303014c;84;4251285456624
002153b;83;4251285492981
504312b;83;4061331008031
002112c;82;4251285444614
108012b;81;4260349657129
103312a;80;4251285402768
023714b;77;4061331046835
002151a;76;4251285444683
005812a;76;4061331000554
302812a;75;4251285462403
020712c;75;4061331039271
042512b;74;4061331177492
205512b;73;4251285493452
023612c;73;4061331046064
611751a;72;4061331008758
005012b;70;4061331002541
020712a;69;4061331039233
004653a;68;4061331014452
004615a;67;4061331056209
204641a;66;4251285406377
504551a;65;4251285411036
041456a;65;4061331175375
000253a;64;4251285467026
013712c;62;4061331009212
501633a;61;4251285465978
004112a;61;4061331001650
020153c;61;4061331037727
040655a;61;4061331173807
108012a;58;4251285412910
204642c;57;4260349659642
013312a;57;4061331015015
303412b;56;4251285476424
040612c;56;4061331173951
042512a;56;4061331177461
003112a;55;4251285489868
040315a;55;4061331173210
020153a;54;4061331037697
039712a;51;4061331171858
204451a;50;4260349655828
020652c;50;4061331039554
041712c;50;4061331176136
001251c;49;4260349655484
041812a;49;4061331175801
043515a;49;4061331181819
501812a;48;4260349657174
032331a;46;4061331096274
043556a;46;4061331181864
008353a;45;4061331054427
014112a;45;4061331013714
107631c;44;4251285410282
504412a;44;4251285410619
007655a;43;4061331005627
040331a;43;4061331173180
041756a;42;4061331176082
106853c;41;4061331015749
205412c;41;4260442281580
207212a;41;4251285400306
008351b;41;4061331007874
204642a;40;4260349659628
603355a;40;4251285492691
041251a;40;4061331174781
041455a;40;4061331175313
043612a;40;4061331182106
043712b;39;4061331182472
021812a;38;4061331042073
042555a;37;4061331177317
607355b;36;4251285495234
012955c;36;4061331014728
021731a;36;4061331041878
021731b;36;4061331041885
023732b;36;4061331125806
034356b;36;4061331107819
040656a;36;4061331173906
301614a;35;4260397151211
005012a;35;4061331002534
027114c;35;4061331107345
039812b;35;4061331172398
040531a;35;4061331173623
402656a;34;4061331020330
018355a;34;4061331032098
027156c;34;4061331107581
303031b;33;4251285456839
007656a;33;4061331017286
035051a;33;4061331109974
043514a;33;4061331181796
106851a;32;4260442281535
611756a;32;4061331017170
040612b;32;4061331173920
604012c;31;4251285411388
607312a;31;4260442281658
041552a;31;4061331175245
103851c;30;4251285482722
301656a;30;4251285487727
023751a;30;4061331046699
044412a;30;4061331183073
